id	DBI	TOMM7	TNX	NDUFB3	group
GSM4187471	9.811509415	11.60291256	11.0900427	10.39849556	AD
GSM4187472	9.17433766	10.5918699	11.11123971	9.816852672	AD
GSM4187473	8.996774973	10.78109624	10.9618196	9.494046657	AD
GSM4187474	9.80782276	11.69064768	11.06559658	9.961200412	Control
GSM4187475	10.12382128	11.93745187	10.8309395	10.0891862	Control
GSM4187476	9.834635646	11.96294018	11.3901786	9.987644482	Control
GSM4187477	9.703652202	10.86945924	11.64815763	9.677809037	Control
GSM4187478	10.59974947	12.19189941	11.51799551	10.59672551	AD
GSM4187479	10.23919723	12.08063362	11.44857177	10.31006135	AD
GSM4187480	10.27447029	12.00806527	11.0592596	9.771660355	Control
GSM4187481	9.193153442	11.77979815	10.94827889	9.702168179	Control
GSM4187482	9.983792364	12.30848327	11.02678643	10.19287553	AD
GSM4187484	8.860599188	11.02415694	11.41541685	9.281216226	Control
GSM4187485	9.792213675	11.44232546	11.0866809	9.878230371	AD
GSM4187487	9.756495238	11.85952539	11.22973311	9.837535684	Control
GSM4187489	10.66376203	13.03310112	11.29233356	10.63182825	Control
GSM4187490	9.083325295	11.11136489	10.94856837	9.468667999	AD
GSM4187491	9.512573176	11.57445911	11.15610843	9.452451113	Control
GSM4187493	9.740159648	11.65850886	11.6268845	9.863341975	AD
GSM4187494	9.379951662	11.36099391	10.74059774	9.274887206	Control
GSM4187495	9.214229194	10.67867811	10.67311459	9.461289591	AD
GSM4187497	9.861825058	11.97645647	10.94292359	9.995667282	Control
GSM4187498	9.76640475	11.43448856	10.8813969	9.563081171	AD
GSM4187499	9.325870375	10.74973625	11.28518002	9.665077402	Control
GSM4187500	8.954988094	11.35048288	10.70737847	9.281086391	AD
GSM4187501	9.777370978	11.48615567	10.95190258	10.07600317	Control
GSM4187502	10.87536492	12.88752283	11.73775101	10.77338376	AD
GSM4187504	9.193488326	11.32386627	11.52788879	9.525829031	AD
GSM4187505	9.620708189	11.63149629	11.12797593	9.479260385	AD
GSM4187507	11.03553851	12.80246713	11.63019389	11.06587785	Control
GSM4187508	9.351986487	11.44235945	11.05878997	9.532016977	Control
GSM4187509	10.04512874	12.25810662	11.33923881	9.915946971	Control
GSM4187511	9.279717284	11.03091824	10.94583143	9.444976968	Control
GSM4187512	9.940529922	11.74130932	11.43647661	9.815732413	Control
GSM4187516	9.621461097	11.58878406	11.72375915	9.861936629	Control
GSM4187517	9.729312111	11.48216667	11.28457771	9.802121659	AD
GSM4187518	9.480010312	11.55452272	11.17507941	9.638877413	Control
GSM4187519	9.317259346	11.18055096	11.2123511	9.28843642	Control
GSM4187520	9.822379494	11.89239636	11.16480755	9.81283172	AD
GSM4187521	9.717000157	11.5133511	11.29121	9.878441057	AD
GSM4187522	9.281902895	11.48662109	11.31017436	9.630190104	AD
GSM4187523	10.14713782	11.6718035	11.46710701	10.18375149	AD
GSM4187525	10.50803564	12.31493069	11.61130915	10.67756397	Control
GSM4187526	9.699063608	11.58058426	11.76380039	10.19979548	AD
GSM4187527	9.763318717	11.38007833	11.03264977	9.669761891	AD
GSM4187528	9.318612121	11.34692765	10.7737689	9.549119105	AD
GSM4187529	11.1351292	13.01411306	11.71869892	10.83883615	AD
